vector,average
"[(0, 5, 6), (1, 0, 0), (1, 0, 4)]",8.516666666666667
"[(1, 2, 0), (1, 2, 2), (1, 3, 1)]",8.96
"[(1, 1, 0), (1, 2, 4), (1, 3, 3)]",8.6
"[(0, 4, 6), (1, 4, 3), (1, 4, 4)]",8.31
"[(1, 2, 2), (1, 3, 4), (1, 4, 1)]",9.043333333333333
"[(1, 1, 1), (1, 2, 0), (1, 4, 4)]",8.573333333333334
"[(1, 0, 2), (1, 3, 2), (1, 4, 2)]",8.06
"[(0, 5, 6), (1, 1, 0), (1, 4, 3)]",8.576666666666666
"[(1, 0, 2), (1, 3, 4), (1, 4, 2)]",8.123333333333333
"[(1, 1, 1), (1, 3, 2), (1, 4, 4)]",8.693333333333333
"[(1, 2, 2), (1, 3, 0), (1, 4, 4)]",9.086666666666666
"[(1, 0, 1), (1, 0, 2), (1, 1, 0)]",8.156666666666666
"[(0, 1, 4), (1, 0, 2), (1, 4, 1)]",9.143333333333333
"[(1, 0, 4), (1, 3, 2), (1, 3, 3)]",8.673333333333334
"[(0, 4, 2), (1, 3, 1), (1, 4, 4)]",8.683333333333334
"[(1, 0, 3), (1, 1, 4), (1, 2, 4)]",8.27
"[(1, 0, 3), (1, 2, 4), (1, 3, 3)]",8.6
"[(1, 1, 2), (1, 1, 4), (1, 3, 2)]",8.726666666666667
"[(1, 0, 0), (1, 0, 2), (1, 3, 2)]",8.246666666666666
"[(0, 2, 4), (1, 1, 3), (1, 4, 2)]",9.036666666666667
"[(1, 1, 2), (1, 2, 4), (1, 3, 3)]",9.006666666666666
"[(1, 1, 1), (1, 2, 3), (1, 4, 1)]",8.983333333333333
"[(0, 5, 6), (1, 2, 1), (1, 3, 4)]",9.44
"[(1, 1, 4), (1, 3, 2), (1, 4, 0)]",8.36
"[(1, 1, 4), (1, 3, 0), (1, 3, 4)]",8.506666666666666
"[(0, 5, 2), (1, 2, 4), (1, 4, 3)]",8.256666666666666
"[(0, 5, 2), (1, 0, 2), (1, 0, 4)]",8.34
"[(0, 5, 2), (1, 0, 2), (1, 2, 0)]",8.06
"[(0, 1, 4), (0, 5, 6), (1, 3, 4)]",9.18
"[(1, 0, 1), (1, 1, 1), (1, 1, 3)]",9.23
"[(1, 4, 0), (1, 4, 2), (1, 4, 3)]",8.043333333333333
"[(1, 0, 2), (1, 1, 2), (1, 3, 2)]",8.623333333333333
"[(0, 1, 4), (0, 4, 2), (1, 1, 3)]",9.57
"[(1, 2, 2), (1, 2, 4), (1, 3, 4)]",9.023333333333333
"[(0, 2, 4), (1, 1, 2), (1, 4, 1)]",9.393333333333333
"[(1, 0, 1), (1, 2, 3), (1, 3, 3)]",8.593333333333334
"[(0, 4, 2), (1, 0, 1), (1, 1, 0)]",8.226666666666667
"[(1, 1, 1), (1, 2, 0), (1, 3, 3)]",8.903333333333334
"[(0, 5, 2), (1, 2, 1), (1, 2, 3)]",9.133333333333333
"[(1, 1, 1), (1, 3, 1), (1, 4, 1)]",8.633333333333333
"[(0, 5, 2), (1, 1, 3), (1, 3, 2)]",9.32
"[(1, 2, 1), (1, 2, 4), (1, 3, 0)]",9.23
"[(1, 0, 3), (1, 2, 2), (1, 4, 3)]",9.16
"[(1, 1, 4), (1, 2, 2), (1, 4, 4)]",9.19
"[(0, 2, 4), (0, 5, 6), (1, 1, 1)]",9.493333333333334
"[(0, 5, 2), (1, 1, 3), (1, 2, 3)]",8.87
"[(1, 0, 1), (1, 0, 4), (1, 4, 0)]",8.22
"[(1, 0, 1), (1, 4, 0), (1, 4, 3)]",8.033333333333333
"[(1, 0, 4), (1, 1, 4), (1, 2, 1)]",9.22
"[(1, 0, 0), (1, 0, 4), (1, 3, 4)]",8.466666666666667
"[(0, 4, 2), (1, 0, 4), (1, 4, 0)]",8.476666666666667
"[(1, 0, 0), (1, 0, 1), (1, 1, 4)]",8.436666666666667
"[(1, 1, 1), (1, 2, 2), (1, 4, 3)]",9.576666666666666
"[(1, 2, 1), (1, 3, 4), (1, 4, 2)]",9.093333333333334
"[(1, 1, 2), (1, 1, 3), (1, 2, 3)]",8.666666666666666
"[(1, 1, 4), (1, 3, 2), (1, 4, 1)]",8.38
"[(1, 0, 0), (1, 3, 1), (1, 4, 0)]",8.236666666666666
"[(1, 0, 3), (1, 1, 0), (1, 2, 4)]",8.453333333333333
"[(1, 0, 3), (1, 1, 3), (1, 3, 3)]",8.843333333333334
"[(1, 0, 0), (1, 2, 1), (1, 4, 2)]",9.116666666666667
"[(0, 2, 4), (1, 0, 4), (1, 1, 4)]",8.763333333333334
"[(0, 5, 2), (1, 1, 2), (1, 4, 0)]",8.85
"[(1, 1, 2), (1, 4, 1), (1, 4, 3)]",8.656666666666666
"[(0, 5, 6), (1, 0, 4), (1, 2, 4)]",8.35
"[(0, 1, 4), (1, 0, 1), (1, 3, 3)]",9.473333333333333
"[(1, 0, 0), (1, 0, 1), (1, 3, 2)]",8.246666666666666
"[(1, 0, 1), (1, 1, 1), (1, 3, 3)]",8.903333333333334
"[(0, 5, 2), (1, 1, 4), (1, 2, 3)]",9.036666666666667
"[(0, 4, 6), (1, 1, 0), (1, 4, 2)]",8.276666666666667
