modification,parent,index,visited_children,walls,special_cells,leaf,sum_reward,count,layer
,,0,"[1, 2, 6, 7, 11, 15, 19, 20, 21, 25, 29, 33, 37, 41, 45, 46, 47]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,355.7766666666665,750,0
10,0,1,"[75, 125, 152, 187, 247, 305, 345]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 0)]",False,2.703333333333335,19,1
7,0,2,"[3, 66, 89, 107, 142, 171, 196, 199, 222, 244]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 2)]",False,66.83333333333333,111,1
8,2,3,"[4, 393, 459, 582, 747, 753, 860, 932, 1019]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 2), (2, 3)]",False,4.389999999999999,9,2
12,3,4,[5],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 2), (2, 3), (1, 0)]",False,0.3866666666666667,1,3
18,4,5,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 2), (2, 3), (1, 0), (0, 3)]",True,0.3866666666666667,1,4
14,0,6,"[76, 128, 191]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 4)]",False,1.9399999999999995,18,1
0,0,7,"[8, 60, 98, 139, 169, 213, 248, 277, 284, 316, 331, 337, 364, 390, 413, 416, 447]","[(1, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,34.730000000000004,70,1
5,7,8,"[9, 547, 740, 1023]","[(1, 4), (4, 2), (4, 6), (5, 2)]",[],False,1.4700000000000006,4,2
6,8,9,[10],"[(1, 4), (4, 2), (4, 6), (5, 2)]","[(2, 1)]",False,0.6033333333333335,1,3
7,9,10,[],"[(1, 4), (4, 2), (4, 6), (5, 2)]","[(2, 1), (2, 2)]",True,0.6033333333333335,1,4
12,0,11,"[12, 73, 117, 179, 235]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0)]",False,1.8566666666666674,17,1
13,11,12,"[13, 334, 670, 883]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0), (1, 4)]",False,0.663333333333334,4,2
16,12,13,[14],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0), (1, 4), (1, 1)]",False,0.2699999999999996,1,3
17,13,14,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0), (1, 4), (1, 1), (1, 2)]",True,0.2699999999999996,1,4
11,0,15,"[16, 63, 92, 121, 165, 203]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3)]",False,5.573333333333327,25,1
16,15,16,"[17, 299]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3), (1, 1)]",False,2.183333333333332,5,2
17,16,17,"[18, 562]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3), (1, 1), (1, 2)]",False,1.963333333333333,3,3
19,17,18,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3), (1, 1), (1, 2), (0, 1)]",True,0.5166666666666675,1,4
8,0,19,"[77, 118, 168, 229, 287, 315, 368, 427, 473]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 3)]",False,1.6866666666666639,17,1
13,0,20,"[80, 129, 170, 232]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 4)]",False,1.4233333333333338,17,1
