modification,parent,index,visited_children,walls,special_cells,leaf,sum_reward,count,layer
,,0,"[1, 3, 4, 6, 8, 10, 11, 13, 15, 16, 18, 19, 20, 22, 23, 25, 27, 29, 31]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,150.90666666666664,200,0
7,0,1,"[2, 37, 55, 61, 70, 79, 88, 97, 100, 111, 116, 123]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 1)]",False,25.443333333333335,22,1
18,1,2,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 1), (0, 1)]",True,0.9066666666666663,1,2
18,0,3,[51],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 1)]",False,0.5166666666666675,5,1
0,0,4,"[5, 44, 56, 74, 89, 109, 120, 137, 143, 150]","[(1, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,7.073333333333332,10,1
4,4,5,[],"[(1, 4), (4, 2), (4, 6), (5, 6)]",[],True,0.5833333333333339,1,2
11,0,6,"[7, 43, 63, 85, 105, 124, 140, 154]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3)]",False,4.406666666666666,8,1
13,6,7,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3), (1, 4)]",True,0.5899999999999999,1,2
16,0,8,"[9, 42, 65]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 3)]",False,5.9733333333333345,9,1
17,8,9,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 3), (0, 3)]",True,1.820000000000002,3,2
5,0,10,"[50, 67, 80, 103, 104, 122, 139, 149]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]",[],False,4.456666666666667,9,1
10,0,11,"[12, 39, 66, 91, 106, 127, 144]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 0)]",False,3.1933333333333334,7,1
16,11,12,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 0), (1, 3)]",True,0.8133333333333326,1,2
13,0,13,"[14, 38, 60, 84, 108, 129]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 4)]",False,4.203333333333335,8,1
15,13,14,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 4), (1, 1)]",True,1.7266666666666666,2,2
9,0,15,"[53, 90, 125, 146]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0)]",False,0.5533333333333328,5,1
6,0,16,"[17, 36, 59, 78, 98, 115, 132, 145, 148, 153]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 3)]",False,6.536666666666665,10,1
7,16,17,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 3), (2, 1)]",True,1.0533333333333328,1,2
12,0,18,"[46, 76, 92, 114, 136, 151]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0)]",False,2.746666666666668,7,1
17,0,19,"[48, 77]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 3)]",False,1.4933333333333358,6,1
15,0,20,"[21, 34, 54, 71]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1)]",False,12.24,14,1
16,20,21,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1), (1, 3)]",True,6.150000000000002,5,2
2,0,22,"[47, 68, 96, 119, 142, 152]","[(1, 4), (2, 4), (4, 2), (5, 2), (5, 6)]",[],False,2.4000000000000004,7,1
4,0,23,"[24, 40, 57, 82, 107, 130, 141]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]",[],False,2.746666666666668,7,1
15,23,24,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]","[(1, 1)]",True,0.6733333333333338,1,2
14,0,25,"[26, 41, 69, 99, 131]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 4)]",False,3.42,8,1
15,25,26,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 4), (1, 1)]",True,1.3333333333333321,2,2
8,0,27,"[28, 35, 52, 58, 72, 83, 87, 95, 102, 113, 117]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 2)]",False,23.789999999999992,21,1
11,27,28,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 2), (3, 3)]",True,2.4200000000000017,2,2
1,0,29,"[30, 45, 64, 75, 93, 110, 128, 135, 147]","[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]",[],False,4.966666666666665,9,1
2,29,30,[],"[(1, 4), (2, 4), (5, 2), (5, 6)]",[],True,0.543333333333333,1,2
3,0,31,"[32, 33, 49, 62, 73, 81, 86, 94, 101, 112, 118, 121, 126, 133, 134, 138]","[(2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,34.74666666666668,28,1
15,31,32,[],"[(2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1)]",True,3.049999999999999,2,2
18,31,33,[],"[(2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 1)]",True,2.246666666666666,2,2
17,20,34,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1), (0, 3)]",True,2.2799999999999994,3,2
10,27,35,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 2), (3, 0)]",True,2.133333333333333,2,2
14,16,36,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 3), (2, 4)]",True,0.45333333333333314,1,2
10,1,37,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 1), (3, 0)]",True,2.2333333333333343,2,2
16,13,38,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 4), (1, 3)]",True,1.4200000000000017,2,2
19,11,39,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 0), (3, 4)]",True,0.3000000000000007,1,2
