vector,average
"[(0, 2, 6), (0, 3, 0)]",10.642857142857142
"[(0, 4, 6), (0, 5, 1)]",10.833333333333334
"[(0, 0, 2), (0, 2, 1)]",10.404761904761905
"[(0, 3, 0), (0, 3, 4)]",10.404761904761905
"[(1, 4, 3), (1, 5, 6)]",10.452380952380953
"[(0, 0, 7), (1, 3, 6)]",10.785714285714286
"[(0, 3, 4), (1, 4, 2)]",10.547619047619047
"[(0, 2, 4), (1, 2, 7)]",10.404761904761905
"[(0, 2, 1), (1, 5, 4)]",10.261904761904763
"[(0, 1, 4), (1, 1, 1)]",10.214285714285714
"[(0, 0, 7), (1, 6, 2)]",10.452380952380953
"[(0, 6, 2), (1, 2, 7)]",10.547619047619047
"[(0, 1, 2), (0, 4, 7)]",10.428571428571429
"[(0, 6, 4), (1, 3, 7)]",10.285714285714286
"[(1, 3, 0), (1, 6, 4)]",10.19047619047619
"[(0, 0, 0), (0, 4, 2)]",10.666666666666666
"[(0, 5, 6), (1, 1, 7)]",10.119047619047619
"[(0, 0, 0), (1, 4, 2)]",10.380952380952381
"[(1, 2, 2), (1, 6, 7)]",10.119047619047619
"[(0, 4, 3), (1, 2, 7)]",10.785714285714286
"[(1, 4, 2), (1, 6, 3)]",10.30952380952381
"[(0, 6, 5), (1, 1, 1)]",10.119047619047619
"[(0, 1, 6), (1, 0, 4)]",10.69047619047619
"[(0, 5, 4), (1, 5, 4)]",10.119047619047619
"[(0, 3, 1), (1, 2, 3)]",10.547619047619047
"[(0, 3, 0), (0, 3, 6)]",10.19047619047619
"[(0, 6, 5), (1, 3, 6)]",10.785714285714286
"[(0, 3, 1), (1, 3, 5)]",11.214285714285714
"[(0, 3, 2), (0, 6, 5)]",10.595238095238095
"[(0, 2, 2), (1, 0, 1)]",10.261904761904763
"[(0, 3, 6), (1, 1, 5)]",10.357142857142858
"[(0, 2, 5), (0, 3, 1)]",10.833333333333334
"[(0, 0, 3), (1, 3, 0)]",10.476190476190476
"[(0, 0, 0), (1, 5, 7)]",10.357142857142858
"[(1, 0, 3), (1, 2, 0)]",10.119047619047619
"[(0, 0, 7), (0, 1, 5)]",10.761904761904763
"[(0, 6, 1), (1, 5, 0)]",10.761904761904763
"[(0, 2, 7), (0, 3, 1)]",11.0
"[(0, 3, 3), (1, 4, 6)]",10.595238095238095
"[(0, 4, 7), (1, 2, 3)]",10.428571428571429
"[(0, 0, 1), (1, 1, 7)]",10.261904761904763
"[(1, 3, 0), (1, 4, 0)]",10.238095238095237
"[(1, 1, 6), (1, 3, 3)]",10.785714285714286
"[(1, 0, 7), (1, 4, 5)]",10.119047619047619
"[(0, 4, 5), (1, 4, 4)]",10.80952380952381
"[(0, 2, 1), (1, 3, 5)]",10.928571428571429
"[(0, 3, 5), (1, 1, 1)]",10.619047619047619
"[(1, 2, 7), (1, 4, 2)]",10.30952380952381
"[(0, 1, 4), (0, 5, 2)]",10.880952380952381
"[(0, 3, 0), (1, 6, 3)]",10.19047619047619
"[(0, 1, 3), (0, 5, 3)]",10.642857142857142
"[(0, 0, 1), (1, 5, 0)]",10.428571428571429
"[(0, 5, 4), (1, 2, 1)]",10.119047619047619
"[(0, 4, 0), (0, 5, 5)]",10.285714285714286
"[(0, 5, 1), (0, 6, 5)]",10.833333333333334
"[(0, 0, 0), (0, 2, 5)]",10.476190476190476
"[(0, 1, 2), (1, 0, 5)]",10.642857142857142
"[(0, 5, 7), (1, 1, 3)]",10.119047619047619
"[(0, 4, 5), (1, 2, 7)]",10.619047619047619
"[(0, 0, 6), (1, 0, 6)]",10.30952380952381
"[(1, 2, 2), (1, 3, 1)]",10.261904761904763
"[(0, 5, 6), (0, 5, 7)]",10.119047619047619
"[(0, 1, 4), (1, 4, 4)]",10.357142857142858
"[(0, 1, 6), (1, 4, 5)]",10.69047619047619
"[(0, 0, 1), (0, 5, 3)]",10.69047619047619
"[(0, 5, 0), (1, 0, 3)]",10.285714285714286
"[(1, 5, 7), (1, 6, 6)]",10.285714285714286
"[(0, 3, 0), (0, 5, 4)]",10.19047619047619
"[(0, 3, 4), (0, 6, 7)]",10.30952380952381
"[(0, 3, 3), (1, 4, 7)]",10.928571428571429
"[(0, 2, 0), (1, 3, 3)]",10.380952380952381
"[(0, 3, 1), (0, 4, 2)]",10.738095238095237
"[(1, 2, 2), (1, 3, 7)]",10.285714285714286
"[(1, 1, 4), (1, 2, 5)]",10.761904761904763
"[(0, 0, 3), (0, 5, 1)]",11.119047619047619
"[(0, 1, 3), (1, 0, 6)]",10.452380952380953
"[(0, 0, 6), (1, 6, 2)]",10.380952380952381
"[(0, 4, 5), (0, 4, 6)]",10.619047619047619
"[(0, 2, 2), (1, 3, 5)]",10.928571428571429
"[(1, 2, 6), (1, 3, 4)]",10.880952380952381
"[(1, 0, 5), (1, 5, 3)]",10.642857142857142
"[(0, 2, 0), (1, 4, 4)]",10.380952380952381
"[(1, 1, 0), (1, 4, 7)]",10.452380952380953
"[(1, 1, 0), (1, 2, 2)]",10.119047619047619
"[(0, 2, 4), (1, 5, 6)]",10.404761904761905
