vector,average
"[(1, 4, 4)]",7.95
"[(0, 5, 2)]",8.05
"[(1, 3, 4)]",8.093333333333334
"[(1, 2, 2)]",8.86
"[(1, 0, 2)]",7.94
"[(0, 2, 4)]",8.463333333333333
"[(1, 2, 0)]",7.93
"[(1, 0, 4)]",8.21
"[(1, 3, 3)]",8.28
"[(1, 0, 3)]",8.136666666666667
"[(1, 3, 1)]",8.05
"[(1, 3, 3)]",8.28
"[(1, 3, 4)]",8.093333333333334
"[(1, 3, 4)]",8.093333333333334
"[(1, 3, 4)]",8.093333333333334
"[(1, 3, 4)]",8.093333333333334
"[(1, 4, 2)]",7.95
"[(1, 3, 3)]",8.28
"[(1, 4, 0)]",7.93
"[(0, 4, 2)]",8.01
"[(0, 4, 2)]",8.01
"[(0, 5, 6)]",8.05
"[(1, 0, 2)]",7.94
"[(1, 2, 2)]",8.86
"[(1, 2, 4)]",8.043333333333333
"[(0, 4, 2)]",8.01
"[(1, 1, 1)]",8.553333333333333
"[(1, 4, 0)]",7.93
"[(1, 4, 3)]",8.023333333333333
"[(1, 1, 2)]",8.543333333333333
"[(0, 5, 6)]",8.05
"[(1, 3, 2)]",8.05
"[(0, 5, 2)]",8.05
"[(1, 4, 1)]",7.95
"[(1, 3, 3)]",8.28
"[(1, 0, 2)]",7.94
"[(0, 5, 6)]",8.05
"[(1, 1, 1)]",8.553333333333333
"[(1, 4, 4)]",7.95
"[(0, 2, 4)]",8.463333333333333
"[(0, 1, 4)]",8.896666666666667
"[(0, 4, 2)]",8.01
"[(1, 1, 4)]",8.24
"[(1, 1, 2)]",8.543333333333333
"[(1, 4, 1)]",7.95
"[(1, 2, 0)]",7.93
"[(0, 2, 4)]",8.463333333333333
"[(1, 4, 4)]",7.95
"[(0, 5, 2)]",8.05
"[(1, 3, 4)]",8.093333333333334
"[(0, 2, 4)]",8.463333333333333
"[(1, 0, 3)]",8.136666666666667
"[(1, 4, 3)]",8.023333333333333
"[(1, 2, 4)]",8.043333333333333
"[(1, 1, 1)]",8.553333333333333
"[(0, 1, 4)]",8.896666666666667
"[(1, 0, 2)]",7.94
"[(1, 2, 2)]",8.86
"[(1, 0, 4)]",8.21
"[(1, 0, 2)]",7.94
"[(1, 1, 2)]",8.543333333333333
"[(1, 1, 3)]",8.606666666666667
"[(0, 1, 4)]",8.896666666666667
"[(0, 2, 4)]",8.463333333333333
"[(1, 0, 1)]",7.94
"[(1, 4, 1)]",7.95
"[(1, 2, 3)]",8.34
"[(1, 2, 3)]",8.34
"[(1, 4, 4)]",7.95
"[(0, 4, 6)]",8.01
"[(1, 0, 2)]",7.94
"[(1, 0, 0)]",8.116666666666667
"[(1, 2, 1)]",8.91
"[(1, 1, 1)]",8.553333333333333
"[(1, 1, 0)]",8.136666666666667
