vector,average
"[(0, 2, 4), (1, 0, 3), (1, 3, 4)]",8.833333333333334
"[(0, 4, 2), (0, 4, 6), (1, 3, 3)]",8.913333333333334
"[(0, 2, 4), (1, 2, 1), (1, 3, 3)]",9.526666666666667
"[(0, 1, 4), (1, 1, 3), (1, 3, 0)]",9.696666666666667
"[(0, 5, 6), (1, 0, 3), (1, 1, 0)]",8.463333333333333
"[(0, 5, 6), (1, 2, 1), (1, 3, 0)]",9.483333333333333
"[(0, 5, 6), (1, 0, 3), (1, 4, 4)]",8.276666666666667
"[(0, 4, 2), (1, 2, 1), (1, 3, 0)]",9.156666666666666
"[(1, 2, 0), (1, 3, 3), (1, 4, 4)]",8.3
"[(0, 5, 6), (1, 1, 0), (1, 1, 2)]",8.87
"[(0, 2, 4), (1, 1, 3), (1, 3, 3)]",9.263333333333334
"[(0, 4, 6), (1, 2, 0), (1, 2, 2)]",8.9
"[(1, 2, 3), (1, 2, 4), (1, 4, 4)]",8.473333333333333
"[(0, 2, 4), (0, 5, 6), (1, 1, 2)]",9.493333333333334
"[(0, 5, 6), (1, 2, 2), (1, 2, 4)]",9.053333333333333
"[(1, 0, 3), (1, 1, 2), (1, 3, 0)]",8.956666666666667
"[(1, 1, 0), (1, 1, 4), (1, 3, 0)]",8.653333333333334
"[(0, 2, 4), (1, 2, 4), (1, 3, 0)]",8.813333333333333
"[(0, 4, 6), (1, 1, 0), (1, 2, 1)]",9.443333333333333
"[(0, 5, 6), (1, 2, 0), (1, 2, 2)]",8.94
"[(1, 0, 3), (1, 1, 3), (1, 2, 3)]",8.606666666666667
"[(0, 1, 4), (0, 4, 6), (1, 2, 3)]",9.406666666666666
"[(0, 2, 4), (0, 5, 6), (1, 3, 0)]",8.79
"[(0, 4, 2), (0, 5, 6), (1, 2, 0)]",8.656666666666666
"[(1, 2, 4), (1, 3, 0), (1, 3, 4)]",8.3
"[(0, 1, 4), (0, 5, 2), (1, 4, 4)]",9.036666666666667
"[(0, 1, 4), (0, 5, 6), (1, 0, 3)]",9.12
"[(1, 1, 3), (1, 3, 0), (1, 3, 3)]",9.06
"[(1, 2, 0), (1, 2, 3), (1, 3, 0)]",8.546666666666667
"[(0, 1, 4), (0, 5, 2), (1, 4, 4)]",9.036666666666667
"[(0, 5, 6), (1, 2, 2), (1, 2, 4)]",9.053333333333333
"[(0, 5, 2), (0, 5, 6), (1, 1, 2)]",9.63
"[(0, 2, 4), (1, 2, 1), (1, 2, 2)]",9.523333333333333
"[(0, 5, 2), (0, 5, 6), (1, 3, 4)]",9.283333333333333
"[(0, 1, 4), (0, 4, 2), (1, 1, 4)]",9.223333333333333
"[(1, 0, 3), (1, 1, 2), (1, 3, 4)]",8.913333333333334
"[(0, 1, 4), (0, 5, 6), (1, 0, 3)]",9.12
"[(0, 5, 2), (1, 0, 3), (1, 2, 0)]",8.256666666666666
"[(0, 5, 2), (1, 0, 3), (1, 4, 4)]",8.276666666666667
"[(0, 5, 2), (0, 5, 6), (1, 2, 0)]",9.13
"[(0, 2, 4), (0, 4, 6), (1, 1, 4)]",8.75
"[(1, 2, 0), (1, 2, 4), (1, 3, 4)]",8.093333333333334
"[(0, 4, 2), (1, 2, 1), (1, 3, 4)]",9.113333333333333
"[(0, 5, 2), (1, 2, 0), (1, 2, 2)]",9.276666666666667
"[(1, 2, 0), (1, 3, 0), (1, 3, 4)]",8.3
"[(0, 1, 4), (0, 4, 2), (1, 3, 4)]",9.14
"[(1, 0, 3), (1, 2, 2), (1, 3, 3)]",9.416666666666666
"[(1, 1, 2), (1, 3, 3), (1, 3, 4)]",9.016666666666667
"[(1, 2, 2), (1, 3, 3), (1, 3, 4)]",9.333333333333334
"[(0, 4, 6), (1, 1, 0), (1, 3, 0)]",8.423333333333334
"[(0, 4, 2), (1, 0, 3), (1, 1, 4)]",8.34
"[(0, 5, 2), (1, 1, 3), (1, 3, 3)]",8.973333333333333
"[(0, 4, 6), (1, 1, 0), (1, 2, 1)]",9.443333333333333
"[(0, 1, 4), (0, 2, 4), (1, 1, 3)]",9.51
"[(1, 0, 3), (1, 2, 4), (1, 3, 0)]",8.456666666666667
"[(0, 4, 6), (1, 2, 3), (1, 3, 3)]",8.666666666666666
"[(0, 4, 2), (0, 5, 2), (0, 5, 6)]",9.016666666666667
"[(0, 5, 6), (1, 1, 4), (1, 3, 0)]",8.566666666666666
"[(0, 1, 4), (1, 2, 1), (1, 2, 3)]",9.753333333333334
"[(1, 1, 2), (1, 3, 0), (1, 4, 4)]",8.77
"[(0, 5, 6), (1, 3, 0), (1, 3, 4)]",8.42
"[(0, 1, 4), (1, 1, 4), (1, 2, 4)]",9.153333333333334
"[(1, 1, 3), (1, 2, 1), (1, 3, 4)]",9.75
"[(1, 1, 4), (1, 2, 1), (1, 3, 4)]",9.28
"[(0, 4, 6), (1, 1, 2), (1, 3, 4)]",8.786666666666667
"[(0, 4, 2), (0, 5, 6), (1, 1, 3)]",9.22
"[(1, 1, 4), (1, 2, 1), (1, 3, 4)]",9.28
"[(1, 1, 4), (1, 2, 0), (1, 4, 4)]",8.26
"[(0, 2, 4), (1, 1, 4), (1, 2, 1)]",9.383333333333333
"[(0, 1, 4), (0, 2, 4), (1, 2, 0)]",9.0
"[(0, 4, 6), (0, 5, 2), (1, 1, 4)]",8.873333333333333
"[(0, 4, 2), (1, 1, 4), (1, 2, 2)]",9.546666666666667
"[(1, 1, 3), (1, 2, 3), (1, 2, 4)]",8.72
"[(0, 1, 4), (1, 0, 3), (1, 2, 0)]",9.113333333333333
"[(1, 1, 3), (1, 2, 0), (1, 3, 0)]",8.813333333333333
"[(1, 1, 4), (1, 2, 3), (1, 2, 4)]",8.66
"[(0, 4, 2), (1, 2, 4), (1, 3, 0)]",8.33
"[(1, 0, 3), (1, 1, 0), (1, 2, 2)]",9.273333333333333
"[(0, 1, 4), (0, 5, 6), (1, 4, 4)]",9.036666666666667
"[(0, 4, 2), (1, 1, 0), (1, 1, 4)]",8.526666666666667
"[(0, 5, 2), (1, 1, 2), (1, 2, 2)]",9.286666666666667
"[(0, 4, 2), (1, 3, 0), (1, 3, 4)]",8.38
"[(0, 4, 6), (0, 5, 6), (1, 1, 2)]",8.663333333333334
"[(0, 4, 2), (1, 1, 0), (1, 3, 3)]",8.566666666666666
"[(0, 4, 2), (1, 1, 0), (1, 2, 3)]",8.893333333333333
"[(0, 5, 2), (1, 1, 0), (1, 1, 3)]",8.933333333333334
"[(0, 1, 4), (1, 1, 3), (1, 3, 0)]",9.696666666666667
"[(1, 1, 2), (1, 2, 3), (1, 2, 4)]",8.77
"[(0, 2, 4), (0, 5, 6), (1, 2, 1)]",9.543333333333333
"[(0, 4, 6), (1, 1, 4), (1, 2, 0)]",8.536666666666667
"[(0, 2, 4), (1, 0, 3), (1, 3, 0)]",8.876666666666667
"[(0, 2, 4), (1, 1, 0), (1, 1, 2)]",9.373333333333333
"[(1, 0, 3), (1, 1, 2), (1, 2, 0)]",8.75
"[(1, 2, 2), (1, 3, 3), (1, 4, 4)]",9.23
"[(0, 4, 6), (1, 1, 0), (1, 2, 0)]",8.33
"[(0, 1, 4), (0, 5, 2), (1, 4, 4)]",9.036666666666667
"[(0, 1, 4), (1, 1, 4), (1, 2, 4)]",9.153333333333334
"[(0, 4, 6), (1, 0, 3), (1, 2, 2)]",9.106666666666667
"[(1, 2, 1), (1, 2, 3), (1, 2, 4)]",9.166666666666666
"[(0, 1, 4), (0, 4, 6), (1, 1, 0)]",9.203333333333333
"[(0, 5, 6), (1, 1, 3), (1, 2, 4)]",8.84
"[(0, 2, 4), (1, 1, 3), (1, 2, 3)]",9.16
"[(0, 5, 6), (1, 1, 2), (1, 2, 3)]",8.776666666666667
"[(0, 1, 4), (0, 2, 4), (0, 5, 6)]",9.016666666666667
"[(0, 2, 4), (0, 5, 2), (1, 2, 4)]",8.726666666666667
"[(1, 2, 0), (1, 2, 3), (1, 3, 3)]",8.586666666666666
"[(1, 2, 0), (1, 2, 4), (1, 3, 4)]",8.093333333333334
"[(0, 2, 4), (1, 0, 3), (1, 4, 4)]",8.69
"[(1, 1, 4), (1, 2, 3), (1, 2, 4)]",8.66
"[(0, 5, 6), (1, 3, 0), (1, 3, 3)]",8.626666666666667
"[(0, 1, 4), (0, 4, 6), (0, 5, 2)]",9.53
"[(0, 4, 6), (1, 2, 2), (1, 3, 3)]",9.25
"[(0, 2, 4), (1, 1, 3), (1, 2, 3)]",9.16
"[(0, 5, 6), (1, 2, 2), (1, 3, 4)]",9.103333333333333
"[(0, 4, 6), (1, 1, 0), (1, 4, 4)]",8.236666666666666
"[(0, 1, 4), (0, 2, 4), (1, 1, 4)]",9.143333333333333
"[(0, 1, 4), (0, 5, 6), (1, 3, 3)]",9.386666666666667
"[(1, 2, 3), (1, 3, 0), (1, 4, 4)]",8.566666666666666
"[(1, 0, 3), (1, 1, 4), (1, 2, 3)]",8.67
"[(0, 5, 6), (1, 1, 2), (1, 1, 3)]",8.786666666666667
"[(0, 5, 2), (1, 1, 0), (1, 3, 4)]",8.42
"[(1, 2, 0), (1, 2, 1), (1, 2, 2)]",9.256666666666666
"[(1, 0, 3), (1, 1, 0), (1, 2, 2)]",9.273333333333333
"[(0, 2, 4), (1, 2, 1), (1, 3, 4)]",9.34
"[(0, 5, 2), (1, 2, 2), (1, 3, 4)]",9.44
"[(0, 4, 6), (1, 1, 3), (1, 3, 0)]",8.893333333333333
"[(1, 1, 2), (1, 1, 4), (1, 3, 0)]",8.853333333333333
"[(1, 1, 2), (1, 2, 2), (1, 3, 0)]",9.22
"[(1, 1, 4), (1, 2, 1), (1, 3, 3)]",9.57
"[(1, 0, 3), (1, 1, 4), (1, 2, 2)]",9.19
"[(0, 4, 2), (1, 1, 2), (1, 3, 3)]",8.973333333333333
"[(0, 5, 2), (1, 2, 0), (1, 3, 4)]",8.213333333333333
"[(0, 5, 6), (1, 1, 2), (1, 2, 4)]",8.776666666666667
"[(1, 0, 3), (1, 1, 2), (1, 2, 1)]",9.73
"[(0, 5, 6), (1, 2, 2), (1, 3, 3)]",9.29
"[(0, 2, 4), (1, 1, 4), (1, 2, 1)]",9.383333333333333
"[(1, 1, 0), (1, 2, 4), (1, 3, 4)]",8.3
"[(0, 2, 4), (0, 4, 2), (1, 3, 0)]",8.75
"[(1, 0, 3), (1, 1, 2), (1, 2, 3)]",8.863333333333333
"[(0, 4, 2), (1, 2, 2), (1, 3, 0)]",9.443333333333333
"[(0, 1, 4), (0, 4, 6), (0, 5, 2)]",9.53
"[(0, 5, 2), (1, 3, 0), (1, 3, 3)]",8.606666666666667
"[(0, 2, 4), (1, 1, 0), (1, 1, 4)]",8.773333333333333
"[(1, 1, 0), (1, 3, 4), (1, 4, 4)]",8.3
"[(0, 1, 4), (0, 4, 6), (0, 5, 6)]",9.016666666666667
"[(1, 0, 3), (1, 2, 2), (1, 3, 0)]",9.273333333333333
"[(1, 1, 4), (1, 2, 4), (1, 4, 4)]",8.27
"[(0, 4, 2), (1, 1, 2), (1, 1, 4)]",8.726666666666667
"[(0, 4, 2), (1, 2, 4), (1, 3, 0)]",8.33
"[(0, 2, 4), (1, 0, 3), (1, 3, 0)]",8.876666666666667
"[(0, 5, 2), (1, 1, 0), (1, 2, 0)]",8.256666666666666
"[(0, 2, 4), (1, 1, 3), (1, 2, 1)]",9.73
"[(1, 3, 0), (1, 3, 4), (1, 4, 4)]",8.3
"[(0, 5, 6), (1, 0, 3), (1, 3, 3)]",8.626666666666667
"[(1, 1, 2), (1, 2, 2), (1, 2, 3)]",9.126666666666667
