vector,average

"[(0, 4, 6), (1, 1, 0), (1, 1, 3), (1, 2, 1), (1, 2, 4)]",10.233333333333333

"[(1, 1, 2), (1, 1, 3), (1, 2, 0), (1, 2, 1), (1, 3, 3)]",9.893333333333333

"[(0, 1, 4), (0, 4, 6), (1, 1, 0), (1, 1, 4), (1, 3, 3)]",9.82

"[(0, 4, 2), (0, 4, 6), (1, 1, 1), (1, 2, 4), (1, 3, 3)]",9.763333333333334

"[(0, 4, 6), (1, 1, 0), (1, 1, 1), (1, 1, 3), (1, 2, 3)]",9.31

"[(1, 1, 0), (1, 1, 3), (1, 1, 4), (1, 2, 4), (1, 3, 3)]",9.173333333333334

"[(1, 1, 0), (1, 1, 4), (1, 2, 0), (1, 2, 2), (1, 2, 4)]",9.386666666666667

"[(0, 1, 4), (1, 0, 2), (1, 1, 2), (1, 1, 4), (1, 2, 1)]",10.193333333333333

"[(0, 5, 2), (0, 5, 6), (1, 1, 1), (1, 2, 3), (1, 2, 4)]",10.306666666666667

"[(0, 1, 4), (0, 4, 6), (1, 1, 3), (1, 2, 1), (1, 2, 4)]",10.53

"[(1, 1, 1), (1, 1, 2), (1, 2, 0), (1, 2, 2), (1, 2, 4)]",9.75

"[(0, 4, 2), (0, 5, 6), (1, 1, 2), (1, 1, 4), (1, 2, 4)]",9.27

"[(0, 5, 2), (0, 5, 6), (1, 0, 3), (1, 1, 2), (1, 1, 3)]",9.96

"[(0, 1, 4), (0, 2, 4), (1, 1, 1), (1, 1, 2), (1, 2, 0)]",9.763333333333334

"[(0, 2, 4), (0, 5, 2), (1, 0, 3), (1, 1, 1), (1, 1, 4)]",9.803333333333333

"[(0, 4, 2), (0, 4, 6), (1, 1, 2), (1, 2, 1), (1, 3, 0)]",10.22

"[(0, 1, 4), (0, 4, 6), (1, 1, 1), (1, 1, 4), (1, 2, 2)]",10.213333333333333

"[(0, 1, 4), (0, 2, 4), (0, 4, 2), (1, 0, 2), (1, 2, 3)]",9.796666666666667

"[(0, 4, 2), (0, 5, 2), (0, 5, 6), (1, 0, 2), (1, 1, 1)]",9.65

"[(0, 4, 2), (1, 1, 0), (1, 2, 3), (1, 2, 4), (1, 3, 0)]",9.213333333333333

"[(0, 1, 4), (1, 0, 3), (1, 1, 3), (1, 3, 0), (1, 3, 3)]",9.82

"[(0, 4, 2), (1, 0, 3), (1, 1, 3), (1, 2, 4), (1, 3, 3)]",9.046666666666667

"[(0, 1, 4), (0, 5, 2), (0, 5, 6), (1, 0, 2), (1, 1, 4)]",10.363333333333333

"[(0, 1, 4), (0, 2, 4), (0, 4, 6), (0, 5, 2), (1, 2, 4)]",9.786666666666667

"[(1, 1, 1), (1, 1, 4), (1, 2, 0), (1, 2, 3), (1, 3, 3)]",9.52

"[(0, 1, 4), (0, 4, 2), (0, 5, 2), (1, 1, 4), (1, 2, 3)]",9.93

"[(0, 1, 4), (0, 2, 4), (0, 5, 2), (0, 5, 6), (1, 1, 2)]",10.676666666666666

"[(1, 1, 1), (1, 1, 3), (1, 2, 0), (1, 2, 2), (1, 3, 0)]",10.366666666666667

"[(0, 1, 4), (0, 2, 4), (1, 0, 2), (1, 1, 3), (1, 3, 0)]",9.84

"[(0, 2, 4), (0, 5, 6), (1, 0, 3), (1, 1, 4), (1, 2, 3)]",9.333333333333334

"[(0, 1, 4), (0, 4, 2), (0, 5, 6), (1, 2, 1), (1, 3, 3)]",10.48

"[(0, 2, 4), (0, 4, 2), (1, 0, 2), (1, 1, 3), (1, 2, 0)]",9.343333333333334

"[(0, 5, 2), (1, 1, 3), (1, 2, 0), (1, 2, 1), (1, 2, 2)]",10.013333333333334

"[(0, 2, 4), (0, 4, 2), (0, 5, 6), (1, 1, 2), (1, 2, 1)]",10.403333333333334

"[(0, 4, 2), (0, 5, 2), (1, 1, 0), (1, 1, 1), (1, 3, 0)]",8.88

"[(1, 1, 1), (1, 1, 3), (1, 2, 1), (1, 2, 3), (1, 3, 3)]",9.966666666666667

"[(0, 4, 2), (0, 4, 6), (1, 0, 2), (1, 1, 3), (1, 2, 0)]",9.343333333333334

"[(0, 2, 4), (0, 4, 6), (1, 2, 2), (1, 2, 4), (1, 3, 0)]",9.486666666666666

"[(0, 4, 6), (0, 5, 2), (1, 0, 2), (1, 0, 3), (1, 2, 0)]",8.903333333333334

"[(0, 1, 4), (0, 2, 4), (1, 1, 0), (1, 2, 1), (1, 2, 3)]",9.866666666666667

"[(0, 5, 2), (0, 5, 6), (1, 1, 3), (1, 2, 4), (1, 3, 3)]",10.083333333333334

"[(0, 4, 6), (0, 5, 6), (1, 1, 0), (1, 2, 1), (1, 2, 4)]",9.596666666666666

"[(1, 0, 2), (1, 2, 1), (1, 2, 2), (1, 2, 4), (1, 3, 0)]",9.576666666666666

"[(0, 1, 4), (1, 0, 2), (1, 1, 2), (1, 1, 3), (1, 2, 4)]",9.816666666666666

"[(0, 2, 4), (0, 4, 2), (1, 0, 2), (1, 1, 0), (1, 1, 4)]",8.996666666666666

"[(0, 1, 4), (0, 4, 2), (1, 1, 4), (1, 2, 2), (1, 3, 3)]",10.503333333333334

"[(0, 4, 6), (1, 1, 4), (1, 2, 1), (1, 2, 2), (1, 2, 4)]",9.616666666666667

"[(0, 2, 4), (1, 1, 1), (1, 1, 4), (1, 2, 0), (1, 3, 0)]",9.693333333333333

"[(0, 2, 4), (0, 5, 6), (1, 0, 3), (1, 1, 2), (1, 1, 4)]",9.803333333333333

"[(0, 2, 4), (0, 5, 6), (1, 0, 2), (1, 1, 4), (1, 2, 1)]",9.893333333333333

"[(0, 2, 4), (0, 4, 2), (1, 0, 2), (1, 1, 3), (1, 2, 3)]",9.516666666666667

"[(0, 4, 6), (1, 1, 2), (1, 2, 0), (1, 2, 1), (1, 2, 4)]",9.963333333333333

"[(0, 4, 6), (1, 1, 3), (1, 1, 4), (1, 3, 0), (1, 3, 3)]",9.243333333333334

"[(0, 4, 2), (1, 1, 2), (1, 2, 0), (1, 2, 1), (1, 3, 3)]",9.913333333333334

"[(0, 4, 2), (0, 4, 6), (0, 5, 6), (1, 0, 3), (1, 2, 0)]",8.903333333333334

"[(0, 4, 6), (1, 1, 0), (1, 1, 1), (1, 3, 0), (1, 3, 3)]",9.23

"[(0, 2, 4), (0, 4, 2), (1, 1, 2), (1, 1, 3), (1, 3, 0)]",9.783333333333333

"[(0, 4, 6), (1, 0, 3), (1, 1, 1), (1, 2, 0), (1, 2, 2)]",9.73

"[(0, 2, 4), (1, 2, 1), (1, 2, 2), (1, 2, 4), (1, 3, 0)]",9.843333333333334

"[(1, 1, 1), (1, 1, 4), (1, 2, 2), (1, 2, 3), (1, 2, 4)]",9.916666666666666

"[(0, 2, 4), (0, 5, 2), (1, 1, 2), (1, 2, 4), (1, 3, 0)]",9.843333333333334

"[(0, 4, 6), (0, 5, 2), (1, 1, 2), (1, 2, 0), (1, 2, 3)]",9.433333333333334

"[(0, 5, 6), (1, 0, 2), (1, 0, 3), (1, 2, 4), (1, 3, 3)]",8.75

"[(0, 4, 6), (0, 5, 6), (1, 1, 1), (1, 1, 3), (1, 2, 0)]",9.463333333333333

"[(0, 4, 2), (1, 0, 2), (1, 2, 1), (1, 3, 0), (1, 3, 3)]",9.516666666666667

"[(0, 2, 4), (0, 5, 6), (1, 0, 2), (1, 1, 1), (1, 1, 4)]",9.833333333333334

"[(0, 5, 2), (1, 1, 1), (1, 1, 2), (1, 1, 4), (1, 2, 1)]",9.84

"[(0, 2, 4), (0, 5, 6), (1, 1, 2), (1, 2, 4), (1, 3, 3)]",9.966666666666667

"[(0, 1, 4), (0, 5, 2), (0, 5, 6), (1, 1, 2), (1, 1, 4)]",10.74

"[(0, 1, 4), (0, 4, 2), (0, 4, 6), (1, 1, 0), (1, 1, 4)]",9.983333333333333

"[(0, 5, 2), (1, 1, 1), (1, 1, 2), (1, 2, 0), (1, 3, 0)]",9.493333333333334

"[(0, 1, 4), (0, 2, 4), (1, 0, 2), (1, 1, 3), (1, 3, 3)]",9.756666666666666

"[(0, 4, 6), (1, 0, 3), (1, 1, 2), (1, 2, 2), (1, 2, 4)]",9.373333333333333

"[(0, 2, 4), (0, 5, 2), (1, 1, 0), (1, 1, 4), (1, 2, 3)]",9.59

"[(0, 2, 4), (0, 5, 2), (1, 2, 1), (1, 2, 2), (1, 2, 3)]",9.716666666666667

"[(0, 1, 4), (1, 1, 1), (1, 2, 1), (1, 2, 3), (1, 2, 4)]",10.02

"[(0, 1, 4), (0, 5, 6), (1, 1, 3), (1, 2, 3), (1, 3, 3)]",9.733333333333333

"[(0, 1, 4), (0, 2, 4), (0, 4, 6), (1, 2, 0), (1, 2, 2)]",9.6

"[(0, 2, 4), (0, 5, 6), (1, 0, 3), (1, 2, 0), (1, 3, 3)]",9.49

"[(0, 5, 6), (1, 2, 1), (1, 2, 2), (1, 2, 3), (1, 3, 3)]",9.696666666666667

"[(0, 2, 4), (0, 5, 2), (1, 1, 1), (1, 2, 1), (1, 3, 3)]",10.006666666666666

"[(0, 5, 2), (1, 0, 3), (1, 2, 1), (1, 2, 3), (1, 3, 3)]",9.586666666666666

"[(0, 1, 4), (1, 0, 3), (1, 1, 0), (1, 1, 2), (1, 2, 0)]",9.673333333333334

"[(0, 1, 4), (0, 5, 2), (1, 1, 4), (1, 2, 1), (1, 2, 3)]",10.05

"[(0, 4, 2), (1, 1, 0), (1, 1, 2), (1, 2, 2), (1, 3, 3)]",9.803333333333333

"[(0, 2, 4), (1, 1, 0), (1, 1, 2), (1, 2, 0), (1, 2, 4)]",9.63

"[(0, 1, 4), (0, 5, 2), (1, 1, 3), (1, 2, 0), (1, 2, 4)]",9.753333333333334

"[(0, 5, 2), (1, 0, 2), (1, 2, 0), (1, 2, 1), (1, 2, 4)]",9.113333333333333

"[(0, 4, 6), (1, 0, 2), (1, 1, 2), (1, 1, 3), (1, 1, 4)]",8.85

"[(0, 1, 4), (0, 4, 2), (1, 0, 3), (1, 1, 3), (1, 1, 4)]",9.673333333333334

"[(0, 4, 6), (1, 0, 3), (1, 1, 3), (1, 2, 1), (1, 2, 2)]",9.973333333333333

"[(0, 1, 4), (0, 5, 6), (1, 0, 3), (1, 2, 1), (1, 2, 3)]",10.223333333333333

"[(0, 5, 6), (1, 1, 0), (1, 1, 2), (1, 1, 3), (1, 2, 0)]",9.106666666666667

"[(0, 2, 4), (1, 0, 2), (1, 1, 4), (1, 2, 3), (1, 3, 3)]",9.366666666666667

"[(0, 5, 2), (1, 1, 0), (1, 1, 1), (1, 2, 1), (1, 3, 0)]",9.433333333333334

"[(0, 5, 6), (1, 1, 0), (1, 2, 1), (1, 2, 2), (1, 2, 4)]",9.656666666666666

"[(0, 5, 2), (0, 5, 6), (1, 1, 2), (1, 1, 3), (1, 3, 3)]",9.916666666666666

"[(0, 1, 4), (0, 4, 6), (1, 1, 0), (1, 2, 0), (1, 3, 3)]",9.706666666666667

"[(0, 1, 4), (0, 2, 4), (1, 1, 0), (1, 3, 0), (1, 3, 3)]",9.576666666666666

"[(0, 4, 2), (1, 0, 2), (1, 0, 3), (1, 1, 1), (1, 2, 0)]",8.85

"[(0, 4, 2), (0, 5, 6), (1, 1, 0), (1, 1, 3), (1, 2, 0)]",9.436666666666667

"[(1, 0, 3), (1, 1, 1), (1, 1, 3), (1, 2, 3), (1, 2, 4)]",9.343333333333334

"[(0, 4, 2), (0, 4, 6), (0, 5, 6), (1, 2, 4), (1, 3, 0)]",9.13

"[(0, 4, 6), (0, 5, 6), (1, 1, 3), (1, 1, 4), (1, 3, 0)]",9.036666666666667

"[(0, 1, 4), (0, 2, 4), (1, 1, 2), (1, 1, 3), (1, 3, 3)]",9.96

"[(0, 4, 2), (0, 5, 2), (1, 0, 3), (1, 2, 1), (1, 2, 4)]",9.31

"[(0, 4, 2), (0, 5, 2), (1, 0, 2), (1, 2, 1), (1, 2, 4)]",9.113333333333333

"[(0, 1, 4), (0, 2, 4), (0, 4, 6), (1, 2, 3), (1, 2, 4)]",9.52

"[(0, 1, 4), (1, 0, 2), (1, 1, 2), (1, 2, 0), (1, 3, 0)]",9.756666666666666

"[(0, 5, 6), (1, 1, 2), (1, 1, 4), (1, 2, 3), (1, 2, 4)]",8.89

"[(0, 4, 2), (0, 5, 2), (1, 0, 3), (1, 2, 4), (1, 3, 3)]",8.72

"[(0, 1, 4), (0, 4, 2), (1, 1, 2), (1, 2, 0), (1, 2, 3)]",10.03

"[(1, 1, 0), (1, 2, 0), (1, 2, 1), (1, 2, 3), (1, 2, 4)]",9.373333333333333

"[(0, 1, 4), (0, 4, 6), (1, 1, 0), (1, 1, 2), (1, 1, 4)]",9.753333333333334

"[(0, 1, 4), (1, 1, 2), (1, 2, 0), (1, 3, 0), (1, 3, 3)]",10.106666666666667

