vector,average
"[(0, 5, 6), (1, 0, 0), (1, 2, 3), (1, 3, 0)]",8.853333333333333
"[(1, 1, 0), (1, 1, 3), (1, 3, 4), (1, 4, 0)]",8.976666666666667
"[(0, 5, 2), (0, 5, 6), (1, 0, 4), (1, 4, 1)]",9.523333333333333
"[(0, 2, 4), (1, 3, 1), (1, 3, 2), (1, 4, 0)]",8.623333333333333
"[(0, 4, 6), (1, 0, 2), (1, 1, 0), (1, 4, 4)]",8.246666666666666
"[(0, 2, 4), (1, 2, 3), (1, 3, 4), (1, 4, 2)]",9.076666666666666
"[(1, 1, 1), (1, 2, 1), (1, 4, 0), (1, 4, 1)]",9.053333333333333
"[(1, 0, 1), (1, 0, 3), (1, 0, 4), (1, 4, 4)]",8.26
"[(0, 2, 4), (0, 4, 2), (1, 0, 3), (1, 2, 3)]",9.343333333333334
"[(0, 4, 6), (1, 3, 0), (1, 3, 3), (1, 4, 0)]",8.606666666666667
"[(1, 0, 2), (1, 1, 0), (1, 2, 4), (1, 4, 2)]",8.28
"[(0, 5, 2), (1, 2, 1), (1, 4, 1), (1, 4, 3)]",9.186666666666667
"[(0, 1, 4), (0, 5, 2), (1, 4, 2), (1, 4, 3)]",9.12
"[(1, 0, 1), (1, 2, 3), (1, 2, 4), (1, 4, 2)]",8.483333333333333
"[(1, 0, 4), (1, 2, 3), (1, 3, 2), (1, 4, 4)]",8.76
"[(1, 0, 0), (1, 0, 4), (1, 3, 1), (1, 3, 3)]",8.866666666666667
"[(0, 1, 4), (1, 0, 2), (1, 1, 4), (1, 4, 2)]",9.296666666666667
"[(0, 5, 6), (1, 0, 1), (1, 3, 0), (1, 4, 3)]",8.586666666666666
"[(0, 2, 4), (0, 4, 2), (1, 3, 0), (1, 4, 4)]",8.77
"[(1, 1, 4), (1, 3, 1), (1, 4, 2), (1, 4, 3)]",8.473333333333333
