vector,average
"[(1, 1, 0), (1, 2, 4)]",8.25
"[(1, 1, 3), (1, 1, 4)]",8.71
"[(0, 5, 2), (1, 1, 4)]",8.36
"[(0, 2, 4), (0, 4, 2)]",8.543333333333333
"[(0, 2, 4), (0, 5, 6)]",8.583333333333334
"[(0, 1, 4), (0, 4, 6)]",8.976666666666667
"[(0, 2, 4), (1, 2, 0)]",8.576666666666666
"[(1, 2, 3), (1, 3, 3)]",8.586666666666666
"[(0, 5, 6), (1, 1, 0)]",8.256666666666666
"[(1, 1, 2), (1, 3, 3)]",8.893333333333333
"[(0, 4, 2), (1, 1, 3)]",8.686666666666667
"[(1, 1, 0), (1, 1, 2)]",8.75
"[(0, 4, 6), (1, 2, 0)]",8.226666666666667
"[(1, 1, 2), (1, 3, 3)]",8.893333333333333
"[(0, 5, 6), (1, 1, 3)]",8.726666666666667
"[(0, 1, 4), (1, 1, 2)]",9.55
"[(0, 5, 2), (1, 1, 0)]",8.256666666666666
"[(0, 4, 2), (1, 1, 3)]",8.686666666666667
"[(1, 2, 0), (1, 2, 4)]",8.043333333333333
"[(0, 5, 2), (1, 3, 3)]",8.4
"[(1, 0, 1), (1, 1, 4)]",8.25
"[(1, 1, 4), (1, 3, 3)]",8.59
"[(0, 4, 2), (0, 5, 2)]",8.05
"[(0, 2, 4), (0, 4, 6)]",8.543333333333333
"[(0, 1, 4), (1, 1, 2)]",9.55
"[(1, 0, 1), (1, 3, 3)]",8.29
"[(0, 5, 2), (1, 1, 3)]",8.726666666666667
"[(1, 1, 1), (1, 1, 3)]",9.23
"[(1, 1, 1), (1, 2, 4)]",8.666666666666666
"[(0, 4, 2), (0, 4, 6)]",8.543333333333333
"[(0, 1, 4), (0, 4, 6)]",8.976666666666667
"[(0, 4, 6), (1, 1, 0)]",8.216666666666667
"[(0, 2, 4), (1, 1, 2)]",9.373333333333333
"[(0, 2, 4), (1, 1, 2)]",9.373333333333333
"[(0, 5, 6), (1, 2, 3)]",8.46
"[(0, 5, 6), (1, 2, 2)]",8.94
"[(1, 1, 1), (1, 2, 4)]",8.666666666666666
"[(1, 2, 0), (1, 2, 4)]",8.043333333333333
"[(0, 2, 4), (1, 1, 1)]",9.373333333333333
"[(0, 1, 4), (1, 1, 2)]",9.55
"[(0, 1, 4), (1, 1, 4)]",9.143333333333333
"[(1, 0, 3), (1, 1, 1)]",8.76
"[(1, 0, 1), (1, 1, 2)]",8.553333333333333
"[(0, 2, 4), (0, 5, 6)]",8.583333333333334
"[(0, 4, 2), (1, 0, 3)]",8.216666666666667
"[(0, 1, 4), (0, 5, 6)]",9.016666666666667
"[(0, 2, 4), (1, 0, 3)]",8.67
"[(0, 4, 6), (0, 5, 2)]",8.563333333333333
"[(1, 1, 4), (1, 2, 3)]",8.65
"[(1, 1, 4), (1, 2, 0)]",8.24
"[(0, 4, 2), (1, 2, 3)]",8.686666666666667
"[(0, 5, 2), (1, 2, 4)]",8.163333333333334
"[(0, 2, 4), (1, 2, 3)]",8.893333333333333
"[(1, 1, 0), (1, 1, 2)]",8.75
"[(0, 5, 6), (1, 1, 1)]",8.673333333333334
"[(0, 1, 4), (1, 3, 3)]",9.246666666666666
"[(1, 1, 1), (1, 3, 0)]",8.76
"[(0, 5, 6), (1, 1, 0)]",8.256666666666666
"[(0, 1, 4), (1, 2, 1)]",9.61
