modification,parent,index,visited_children,walls,special_cells,leaf,sum_reward,count,layer
,,0,"[1, 2, 8, 14, 20, 21, 22, 28, 34, 40, 41, 47, 53, 59, 60, 61, 62, 68, 69, 70, 76, 82, 83, 89, 95, 101]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,3801.4899999999784,3000,0
21,0,1,"[151, 281, 406, 610, 800]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 0)]",False,0,11,1
4,0,2,"[3, 129, 199, 209, 266, 271, 323, 328, 363, 386, 441, 511, 564, 569, 622, 706, 726, 795, 816, 848, 881, 948]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]",[],False,19.9,48,1
13,2,3,"[4, 1268]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]","[(1, 2)]",False,1.1033333333333335,2,2
14,3,4,[5],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]","[(1, 2), (1, 3)]",False,0.586666666666666,1,3
22,4,5,[6],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]","[(1, 2), (1, 3), (3, 1)]",False,0.586666666666666,1,4
26,5,6,[7],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]","[(1, 2), (1, 3), (3, 1), (4, 0)]",False,0.586666666666666,1,5
27,6,7,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]","[(1, 2), (1, 3), (3, 1), (4, 0), (4, 1)]",True,0.586666666666666,1,6
2,0,8,"[9, 132, 221, 245, 250, 255, 309, 369, 419, 461, 478, 558, 639, 716, 754, 853, 924, 929, 959, 1054, 1222, 1498, 1582, 1713]","[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]",[],False,17.563333333333325,47,1
6,8,9,"[10, 1851]","[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]","[(0, 0)]",False,0.6666666666666661,2,2
8,9,10,[11],"[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]","[(0, 0), (0, 2)]",False,0.4733333333333327,1,3
17,10,11,[12],"[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]","[(0, 0), (0, 2), (2, 1)]",False,0.4733333333333327,1,4
22,11,12,[13],"[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]","[(0, 0), (0, 2), (2, 1), (3, 1)]",False,0.4733333333333327,1,5
25,12,13,[],"[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]","[(0, 0), (0, 2), (2, 1), (3, 1), (3, 4)]",True,0.4733333333333327,1,6
5,0,14,"[15, 130, 204, 244, 339, 344, 400, 505, 617, 700, 811, 890, 999, 1207, 1212, 1272, 1277, 1466, 1641, 1646, 1651]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]",[],False,12.060000000000002,36,1
13,14,15,"[16, 1673]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]","[(1, 2)]",False,0.7633333333333336,2,2
22,15,16,[17],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]","[(1, 2), (3, 1)]",False,0.5466666666666669,1,3
23,16,17,[18],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]","[(1, 2), (3, 1), (3, 2)]",False,0.5466666666666669,1,4
29,17,18,[19],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]","[(1, 2), (3, 1), (3, 2), (4, 3)]",False,0.5466666666666669,1,5
30,18,19,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]","[(1, 2), (3, 1), (3, 2), (4, 3), (4, 4)]",True,0.5466666666666669,1,6
22,0,20,"[152, 282, 407, 611]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 1)]",False,0,11,1
25,0,21,[153],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 4)]",False,0,11,1
3,0,22,"[23, 134, 233, 298, 392, 532, 553, 692, 827, 832, 915, 953, 1043, 1223, 1228, 1233, 1234, 1351, 1356, 1457, 1592, 1597, 1602]","[(1, 4), (2, 4), (4, 2), (5, 2), (5, 6)]",[],False,15.593333333333334,42,1
4,22,23,"[24, 2801, 2813]","[(1, 4), (2, 4), (4, 2), (5, 6)]",[],False,2.2766666666666673,3,2
7,23,24,[25],"[(1, 4), (2, 4), (4, 2), (5, 6)]","[(0, 1)]",False,0.3533333333333335,1,3
9,24,25,[26],"[(1, 4), (2, 4), (4, 2), (5, 6)]","[(0, 1), (0, 3)]",False,0.3533333333333335,1,4
14,25,26,[27],"[(1, 4), (2, 4), (4, 2), (5, 6)]","[(0, 1), (0, 3), (1, 3)]",False,0.3533333333333335,1,5
15,26,27,[],"[(1, 4), (2, 4), (4, 2), (5, 6)]","[(0, 1), (0, 3), (1, 3), (1, 4)]",True,0.3533333333333335,1,6
8,0,28,"[29, 135, 238, 370, 510, 701, 864, 1048, 1515, 1821, 2265, 2270, 2271, 2710, 3252]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 2)]",False,1.3900000000000006,15,1
9,28,29,[30],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 2), (0, 3)]",False,0.3533333333333335,1,2
12,29,30,[31],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 2), (0, 3), (1, 1)]",False,0.3533333333333335,1,3
14,30,31,[32],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 2), (0, 3), (1, 1), (1, 3)]",False,0.3533333333333335,1,4
19,31,32,[33],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 2), (0, 3), (1, 1), (1, 3), (2, 3)]",False,0.3533333333333335,1,5
20,32,33,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 2), (0, 3), (1, 1), (1, 3), (2, 3), (2, 4)]",True,0.3533333333333335,1,6
16,0,34,"[35, 136, 215, 359, 466, 650, 847, 1028, 1489, 1771]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0)]",False,0.9933333333333341,13,1
17,34,35,"[36, 2232]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0), (2, 1)]",False,0.6199999999999992,2,2
20,35,36,[37],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0), (2, 1), (2, 4)]",False,0.34999999999999964,1,3
21,36,37,[38],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0), (2, 1), (2, 4), (3, 0)]",False,0.34999999999999964,1,4
23,37,38,[39],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0), (2, 1), (2, 4), (3, 0), (3, 2)]",False,0.34999999999999964,1,5
30,38,39,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0), (2, 1), (2, 4), (3, 0), (3, 2), (4, 4)]",True,0.34999999999999964,1,6
15,0,40,"[154, 284, 368, 504, 694, 874, 1104, 1568, 1889, 1955, 2356]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 4)]",False,1.2366666666666664,13,1
12,0,41,"[42, 131, 214, 354, 431, 436, 479, 484, 494, 590, 695, 782, 880, 998]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1)]",False,8.259999999999998,29,1
13,41,42,"[43, 1187]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1), (1, 2)]",False,1.2833333333333332,2,2
19,42,43,[44],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1), (1, 2), (2, 3)]",False,0.4833333333333325,1,3
25,43,44,[45],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1), (1, 2), (2, 3), (3, 4)]",False,0.4833333333333325,1,4
27,44,45,[46],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1), (1, 2), (2, 3), (3, 4), (4, 1)]",False,0.4833333333333325,1,5
