modification,parent,index,visited_children,walls,special_cells,leaf,sum_reward,count,layer
,,0,"[1, 2, 3, 8, 13, 18, 19, 20, 21, 26, 31, 36, 41, 46, 47, 52]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,582.5266666666668,1500,0
14,0,1,"[74, 106]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1)]",False,0.21999999999999886,29,1
8,0,2,"[75, 107, 152, 197, 250, 294, 334, 371]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0)]",False,0,29,1
1,0,3,"[4, 69, 105, 140, 186, 209, 214, 269, 301, 327, 353, 376, 410, 434, 471]","[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]",[],False,11.890000000000004,76,1
6,3,4,"[5, 543, 903, 1197, 1548]","[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]","[(2, 1)]",False,0.8200000000000003,5,2
7,4,5,[6],"[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]","[(2, 1), (2, 2)]",False,0.11666666666666714,1,3
9,5,6,[7],"[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]","[(2, 1), (2, 2), (2, 3)]",False,0.11666666666666714,1,4
17,6,7,[],"[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]","[(2, 1), (2, 2), (2, 3), (0, 3)]",True,0.11666666666666714,1,5
4,0,8,"[9, 63, 92, 130, 141, 179, 220, 224, 248, 278, 306, 338]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]",[],False,4.729999999999999,47,1
6,8,9,"[10, 377, 769, 1263]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]","[(2, 1)]",False,0.6366666666666667,4,2
11,9,10,[11],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]","[(2, 1), (3, 0)]",False,0.38333333333333286,1,3
16,10,11,[12],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]","[(2, 1), (3, 0), (1, 3)]",False,0.38333333333333286,1,4
