modification,parent,index,visited_children,walls,special_cells,leaf,sum_reward,count,layer
,,0,"[1, 2, 6, 7, 11, 15, 16, 17, 21, 22, 26, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 49, 50, 51, 55, 56, 60, 61]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,1709.6833333333318,2500,0
2,0,1,"[79, 124, 168, 229, 232, 233, 234, 265, 324, 351, 384, 414, 465, 507, 510, 541, 589, 592, 635, 672, 729, 762, 835, 884, 887, 892]","[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]",[],False,5.279999999999999,37,1
15,0,2,"[3, 65, 104, 145, 167, 228, 286, 328, 367, 412, 480, 545, 619]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 4)]",False,2.169999999999998,25,1
18,2,3,"[4, 659]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 4), (2, 2)]",False,0.9266666666666659,2,2
21,3,4,[5],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 4), (2, 2), (3, 0)]",False,0.7266666666666666,1,3
24,4,5,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 4), (2, 2), (3, 0), (3, 3)]",True,0.7266666666666666,1,4
24,0,6,"[80, 125, 171, 243]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3)]",False,0,17,1
0,0,7,"[8, 71, 98, 105, 121, 153, 192, 195, 210, 213, 222, 225, 259, 266, 290, 302, 331, 341, 345, 362, 385, 391, 418, 432, 453, 467, 470, 476]","[(2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,1648.653333333332,1842,1
5,7,8,"[9, 683, 833, 1009, 1020, 1113, 1191, 1240, 1342, 1425, 1489, 1558, 1603, 1687, 1754, 1756, 1758, 1760, 1762, 1773, 1775, 1777, 1796, 1822]","[(2, 4), (4, 2), (4, 6), (5, 2)]",[],False,25.189999999999998,45,2
20,8,9,[10],"[(2, 4), (4, 2), (4, 6), (5, 2)]","[(2, 4)]",False,0.1899999999999995,1,3
25,9,10,[],"[(2, 4), (4, 2), (4, 6), (5, 2)]","[(2, 4), (3, 4)]",True,0.1899999999999995,1,4
9,0,11,"[12, 64, 103, 144, 164, 219, 272, 334, 373, 431, 500, 549, 581, 606, 629, 676, 727, 778, 862]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 3)]",False,3.013333333333332,27,1
10,11,12,"[13, 927]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 3), (0, 4)]",False,0.7833333333333332,2,2
12,12,13,[14],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 3), (0, 4), (1, 1)]",False,0.7833333333333332,1,3
18,13,14,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 3), (0, 4), (1, 1), (2, 2)]",True,0.7833333333333332,1,4
10,0,15,"[81, 126, 172, 199, 263, 330, 374, 436, 495, 553, 644, 709, 712, 752, 813, 883, 960, 1052]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 4)]",False,2.7633333333333336,26,1
22,0,16,"[82, 127, 175, 244, 306, 376]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 1)]",False,0,17,1
1,0,17,"[18, 63, 102, 143, 160, 204, 207, 220, 264, 318, 321, 338, 359, 388, 427, 430, 458, 481, 526, 529, 535, 556, 559, 562, 563, 570, 573]","[(1, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,13.546666666666667,56,1
3,17,18,"[19, 664]","[(1, 4), (4, 2), (5, 2), (5, 6)]",[],False,0.8166666666666664,2,2
13,18,19,[20],"[(1, 4), (4, 2), (5, 2), (5, 6)]","[(1, 2)]",False,0.8033333333333328,1,3
24,19,20,[],"[(1, 4), (4, 2), (5, 2), (5, 6)]","[(1, 2), (3, 3)]",True,0.8033333333333328,1,4
26,0,21,"[83, 128]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(4, 0)]",False,0,17,1
3,0,22,"[23, 76, 111, 152, 200, 240, 293, 350, 397, 474, 540, 622, 698, 751, 851, 930, 933, 936, 970, 1069, 1147, 1255, 1406]","[(1, 4), (2, 4), (4, 2), (5, 2), (5, 6)]",[],False,1.6566666666666663,23,1
6,22,23,[24],"[(1, 4), (2, 4), (4, 2), (5, 2), (5, 6)]","[(0, 0)]",False,0.046666666666666856,1,2
21,23,24,[25],"[(1, 4), (2, 4), (4, 2), (5, 2), (5, 6)]","[(0, 0), (3, 0)]",False,0.046666666666666856,1,3
23,24,25,[],"[(1, 4), (2, 4), (4, 2), (5, 2), (5, 6)]","[(0, 0), (3, 0), (3, 2)]",True,0.046666666666666856,1,4
14,0,26,"[84, 129, 177, 246, 308, 311, 365, 411, 482, 552, 636, 639, 642, 643]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 3)]",False,7.503333333333334,42,1
21,0,27,"[85, 130, 178, 247, 312, 378, 441]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 0)]",False,0,17,1
27,0,28,[86],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(4, 1)]",False,0,17,1
